City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Luba,GQ,76.89,scattered clouds,3.4568,8.5547,
484,Patu,BR,78.73,few clouds,-6.11,-37.6367,Pousada Cidade do Sol
485,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
489,Blackwater,AU,89.38,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
492,Lumphat,KH,79.95,overcast clouds,13.4878,106.9816,Lumphat Homestay
494,Luwuk,ID,81.5,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
496,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
508,Puerto Escondido,MX,77.18,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
509,Omboue,GA,78.08,overcast clouds,-1.5746,9.2618,Hotel Olako
510,Puerto Carreno,CO,85.98,clear sky,6.189,-67.4859,Casa Hotel Victoria
515,Sabang,ID,80.67,overcast clouds,5.8933,95.3214,Hotel Citra
516,Dalby,AU,85.98,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
518,Panama City,PA,82.06,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
527,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
528,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
530,Astorga,BR,80.83,scattered clouds,-23.2325,-51.6656,Rancho Jads
533,Gamba,GA,77.67,overcast clouds,-2.65,10.0,
543,Thinadhoo,MV,82.63,overcast clouds,0.5333,72.9333,
547,Langsa,ID,78.78,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
551,Dori,BF,75.27,clear sky,14.0354,-0.0345,Hôtel Liptako
555,Simbahan,PH,81.81,broken clouds,6.3032,120.5836,
562,Bousso,TD,76.69,broken clouds,10.4795,16.7117,
569,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
574,Lafia,NG,78.69,scattered clouds,8.4833,8.5167,Low Cost Housing Estate
584,Japura,ID,80.28,light rain,-0.3167,102.35,Rumah mbah Jamah
587,Coxim,BR,78.3,few clouds,-18.5067,-54.76,Hotel Avenida
588,Yenagoa,NG,77.7,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
